Year,Month,Day,Photo_reference,Location_Name,Site_Name,Latitude,Longitude,Notes
1890,8,30,c,Little Plumstead,,52.6576794,1.4179244,
1890,8,30,c,Raveningham,,52.5139275,1.5301426,
1890,8,30,c,Reedham,,52.5596025,1.5659946,
1890,8,30,c,Scottow,,52.7622815,1.3765112,
1890,8,30,c,South Acre,,52.6957525,0.6772269,
1890,8,30,c,Sparham,,52.7344563,1.0700471,
1890,8,30,c,Stokesby,,52.6389181,1.5917907,
1890,8,30,c,Swanton Abbot,,52.7798467,1.3564659,
1890,8,30,c,Thwaite,,52.8464315,1.262761,
1890,8,30,c,Tottington,,52.520071,0.797177,
1890,8,30,c,Trowse,,52.611309,1.3208699,
1890,8,30,c,Trunch,,52.8632029,1.3931169,
1890,8,30,c,East Tuddenham,,52.6591873,1.0740694,
1890,8,30,c,North Tuddenham,,52.6866809,1.0157799,
1890,8,30,c,Upwell,,52.6012339,0.2205283,
1890,8,30,c,Watlington,,52.6733651,0.3914655,
1890,8,30,c,Wood Dalling,,52.7996083,1.0988598,
1890,8,30,c,Woodton,,52.498072,1.3746839,
1890,8,30,c,Loddon,,52.534824,1.4819363,
1890,8,30,c,Mattishall,,52.6596767,1.0282759,
1890,8,30,c,Merton,,52.5534262,0.8116361,
1890,9,13,b,Methwold,,52.5221723,0.5522738,
1890,9,19,b,Methwold,,52.5221723,0.5522738,
1890,9,19,b,Northwold,,52.5441747,0.585751,
1890,9,19,b,Feltwell,,52.4858324,0.5233676,
1890,9,19,b,South Acre,,52.6957525,0.6772269,
1890,10,6,a,Felmingham,,52.814062,1.3362096,
1890,10,6,a,Antingham,,52.85098,1.3479335,
1890,10,6,a,Suffield,,52.8458607,1.3126036,
1890,10,6,a,Norwich,St Mary-Coslany,52.628606,1.29227,
1890,10,11,a,East Harling,,52.4392521,0.9326761,
1890,10,11,b,Stokesby,,52.6389181,1.5917907,
1890,10,23,a,Bawburgh,,52.6322861,1.1841299,
1890,10,23,a,Stokesby,,52.6389181,1.5917907,
1890,10,23,a,Felbrigg,,52.9105312,1.2733296,
1890,10,23,b,Scottow,,52.7622815,1.3765112,
1890,10,23,b,Swanton Abbot,,52.7798467,1.3564659,
1891,1,3,e,Brisley,,52.7559129,0.8873673,
1891,1,3,g,Ingham,,52.7798853,1.5416054,
1891,5,21,a,Wiveton,,52.9461714,1.0385579,
1891,5,21,b,Carlton,,52.6090778,1.0888198,Carlton Forehoe?
1891,5,21,b,Brisley,,52.7559129,0.8873673,
1891,5,21,d,Blo' Norton,,52.3750179,0.9578704,
1891,5,21,e,Ingham,,52.7798853,1.5416054,
1891,6,1,e,Hunstanton,,52.9393841,0.4901743,
1891,7,4,c,Ingham,,52.7798853,1.5416054,
1891,7,4,e,Great Fransham,,52.6856142,0.8029389,
1891,9,24,d,Suffield,,52.8458607,1.3126036,
1891,9,24,d,North Repps,,52.9044753,1.337108,
1891,9,24,d,South Repps,,52.6977829,1.5746994,
1891,9,24,d,Gunton,,52.866075,1.3493462,
1891,9,24,d,Hanworth,,52.8718245,1.2629584,
1891,9,24,d,Thurgarton,,52.8662675,1.2414571,
1891,9,24,d,Sustead,,52.8863369,1.2489388,
1891,9,24,d,Metton,,52.8887375,1.2684619,
1891,9,24,d,Beeston,,52.7082005,0.8264523,
1891,9,24,d,Sheringham,,52.9438831,1.21262,
1891,9,24,e,Beeston,,52.7082005,0.8264523,
1891,9,24,e,Norwich,St Michael-at-Plea,52.628606,1.29227,
1891,9,24,e,Norwich,St Helen's,52.628606,1.29227,
1891,9,24,e,Coltishall,,52.7283526,1.3594723,
1891,9,24,e,Horstead,,52.7265691,1.3510019,
1891,9,24,e,Frettenham,,52.7085962,1.3247301,
1891,9,24,e,Spixworth,,52.6871966,1.323195,
1891,9,24,e,Catton,,52.6627051,1.2969516,
1891,9,24,f,Norwich,Castle Museum,52.628606,1.29227,
1891,9,24,f,Norwich,St Edmund,52.628606,1.29227,
1891,9,24,f,Norwich,St James,52.628606,1.29227,
1891,9,24,f,Norwich,St Paul,52.628606,1.29227,
1892,5,4,e,Ditchingham,,52.4704905,1.4404243,
1892,5,4,e,Norwich,St John Maddermarket,52.628606,1.29227,
1892,5,4,e,Salle,,52.7804034,1.1248665,
1892,5,4,e,Blickling,,52.8099215,1.2259634,
1893,8,23,n,Bacton,,52.8508198,1.4792065,
1893,8,30,b,Hickling,,52.7528099,1.5697792,
